"FLOW","Type of FDI","ECOACT","Industry","CUR","Currency","COU","Reporting country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IN","Inward","1805","Textiles and wearing apparel","SUB","Reported currency","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,418.445,,
"IN","Inward","1805","Textiles and wearing apparel","SUB","Reported currency","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,533.338,,
"IN","Inward","1805","Textiles and wearing apparel","SUB","Reported currency","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,288.801,,
"IN","Inward","1805","Textiles and wearing apparel","SUB","Reported currency","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,343.872,,
"IN","Inward","1805","Textiles and wearing apparel","SUB","Reported currency","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,361.547,,
"IN","Inward","1805","Textiles and wearing apparel","SUB","Reported currency","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,327.316,,
"IN","Inward","1805","Textiles and wearing apparel","SUB","Reported currency","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,103.822,,
"IN","Inward","1805","Textiles and wearing apparel","SUB","Reported currency","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,172.189,,
"IN","Inward","1805","Textiles and wearing apparel","USD","US Dollar","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,282.084,,
"IN","Inward","1805","Textiles and wearing apparel","USD","US Dollar","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,412.439,,
"IN","Inward","1805","Textiles and wearing apparel","USD","US Dollar","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,418.445,,
"IN","Inward","1805","Textiles and wearing apparel","USD","US Dollar","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,533.338,,
"IN","Inward","1805","Textiles and wearing apparel","USD","US Dollar","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,288.801,,
"IN","Inward","1805","Textiles and wearing apparel","USD","US Dollar","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,343.872,,
"IN","Inward","1805","Textiles and wearing apparel","USD","US Dollar","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,361.547,,
"IN","Inward","1805","Textiles and wearing apparel","USD","US Dollar","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,327.316,,
"IN","Inward","1805","Textiles and wearing apparel","USD","US Dollar","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,103.822,,
"IN","Inward","1805","Textiles and wearing apparel","USD","US Dollar","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,172.189,,
"IN","Inward","2205","Wood,publishing and printing","SUB","Reported currency","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,187.794,,
"IN","Inward","2205","Wood,publishing and printing","SUB","Reported currency","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,525.034,,
"IN","Inward","2205","Wood,publishing and printing","SUB","Reported currency","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,161.546,,
"IN","Inward","2205","Wood,publishing and printing","SUB","Reported currency","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,73.981,,
"IN","Inward","2205","Wood,publishing and printing","SUB","Reported currency","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,193.322,,
"IN","Inward","2205","Wood,publishing and printing","SUB","Reported currency","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,175.195,,
"IN","Inward","2205","Wood,publishing and printing","SUB","Reported currency","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,102.397,,
"IN","Inward","2205","Wood,publishing and printing","SUB","Reported currency","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,42.695,,
"IN","Inward","2205","Wood,publishing and printing","SUB","Reported currency","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,86.192,,
"IN","Inward","2205","Wood,publishing and printing","SUB","Reported currency","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,201.016,,
"IN","Inward","2205","Wood,publishing and printing","USD","US Dollar","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,187.794,,
